,_unit_id,_golden,_unit_state,_trusted_judgments,verify_relationship,verify_relationship:confidence,chemical_id,chemical_name,disease_id,disease_name,form_sentence,pmid,relation_pair_id,uniq_id
84,84,1,1,11,0,0.5539999999999999,495,861,464,673,1690,7282516,3280,447
85,85,1,1,11,0,0.8184,447,790,615,1669,2181,16225977,1071,263
86,86,1,1,9,1,1.0,148,479,381,1097,4213,7905523,3372,186
87,87,1,1,8,0,0.8908,666,1205,866,1401,4297,9022662,3705,301
88,88,1,1,10,0,1.0,89,449,843,1001,419,3411101,3188,237
89,89,1,1,5,1,0.8179,329,69,493,1360,2395,18674790,1692,366
90,90,1,1,9,0,0.897,875,1197,488,1331,3354,16720068,1206,246
91,91,1,1,7,1,0.7103,459,176,856,1768,182,10840460,159,253
92,92,1,1,11,1,0.8362,533,950,376,1080,2116,9915601,3917,84
93,93,1,1,12,0,0.7582,331,676,141,616,4920,6127992,3229,498
94,94,1,1,10,1,1.0,659,1182,591,392,726,11337188,291,244
95,95,1,1,13,0,0.6089,544,968,228,815,874,3084782,3173,273
96,96,1,1,12,1,0.7384,590,308,130,130,3628,17042884,1310,200
97,97,1,1,8,0,0.8714,724,1301,622,1688,3381,11999899,424,192
98,98,1,1,12,1,1.0,809,556,465,249,4150,16584858,1162,376
99,99,1,1,9,1,1.0,537,956,500,1695,2263,2709684,3158,228
100,100,1,1,8,0,0.7612,944,510,537,1481,2264,3461217,3190,291
101,101,1,1,9,0,0.5827,679,1219,545,1499,3991,14698717,716,290
102,102,1,1,10,1,1.0,371,656,477,650,4512,3970039,3218,193
103,103,1,1,9,1,1.0,712,1275,689,1416,4091,6387529,3247,157
104,104,1,1,13,0,0.4668,505,583,123,570,1127,9698967,3845,464
105,105,1,1,10,0,0.9,581,1024,363,1054,2371,2632720,3157,408
106,106,1,1,11,1,0.9065,438,775,872,1679,5465,8643971,3589,194
107,107,1,1,13,1,1.0,740,1126,575,385,2892,12198388,493,496
108,108,1,1,8,0,0.7679,778,1438,309,1395,2052,7420681,3281,180
109,109,1,1,9,1,0.8969,802,551,363,1055,519,3173179,3185,169
110,110,1,1,12,0,0.9164,396,708,636,1757,5362,11419773,299,265
111,111,1,1,9,0,0.5372,319,572,400,132,4298,8669433,3592,443
112,112,1,1,13,0,0.7891,687,1227,174,227,627,8410052,3530,202
113,113,1,1,15,1,0.8156,346,611,555,1543,4082,234669,2787,249
114,114,1,1,14,1,1.0,73,28,477,1708,752,2224762,2495,195
115,115,1,1,15,0,0.547,313,1059,141,616,3138,19820426,1953,153
116,116,1,1,10,1,0.8957,708,1268,703,501,2742,11679859,333,489
117,117,1,1,14,0,0.7179,519,234,141,616,221,18544179,1651,203
118,118,1,1,10,1,1.0,449,793,298,945,4589,11391224,297,485
119,119,1,1,4,1,1.0,838,136,448,1254,3341,14659530,715,310
120,120,1,1,13,0,1.0,230,1407,843,1677,1276,17919553,1516,221
121,121,1,1,8,1,0.8783,388,691,363,1054,3575,8955532,3674,166
122,122,1,1,10,0,0.6119,752,1394,141,616,1523,6466532,3250,275
123,123,1,1,16,1,0.8239,152,903,611,1661,1799,10193204,6,219
124,124,1,1,15,0,0.9457,487,684,851,472,2918,18754075,1706,146
125,125,1,1,9,0,1.0,319,572,400,726,2185,8669433,3592,441
126,126,1,1,11,1,1.0,645,368,485,1338,4566,19300402,1856,255
127,127,1,1,14,1,0.9245,459,810,363,1054,1153,15325671,800,257
128,128,1,1,10,1,0.9179999999999999,299,1067,483,1337,3775,17600377,1436,135
129,129,1,1,11,0,0.5251,321,574,622,1689,1329,15275829,794,128
130,130,1,1,11,1,1.0,740,1126,330,159,4730,17854040,1498,136
131,131,1,1,14,0,0.8613,505,877,611,1661,4327,10193204,7,230
132,132,1,1,14,1,0.7929,560,985,464,1302,1791,983936,3911,49
133,133,1,1,11,1,0.8137,432,758,192,745,4565,16755009,1207,540
134,134,1,1,8,1,0.8756,740,1357,675,1774,1698,18768591,1726,148
135,135,1,1,16,0,0.5817,438,775,795,1264,2385,18809400,1736,197
136,136,1,1,7,1,1.0,625,1118,860,469,1837,18221780,1582,139
137,137,1,1,9,1,0.7793,846,366,860,469,4628,18221780,1583,140
138,138,1,1,10,0,0.9053,336,588,286,906,2442,19657887,1909,161
139,139,1,1,6,1,0.8397,493,859,141,616,4725,10721819,126,118
140,140,1,1,14,1,1.0,548,975,544,1498,3439,9812111,3880,178
141,141,1,1,12,1,0.9264,519,908,504,1460,1379,18544179,1652,205
142,142,1,1,13,0,1.0,647,383,100,533,362,19884587,1964,191
143,143,1,1,10,1,1.0,489,1085,857,722,4631,12063090,459,124
144,144,1,1,11,0,0.5533,578,1021,143,1019,1866,12757899,592,125
145,145,1,1,12,0,1.0,617,1103,773,1317,1389,17466854,1419,130
146,146,1,1,9,0,0.789,409,726,817,1529,5551,2522601,3106,171
147,147,1,1,9,0,1.0,907,591,540,1488,2917,18754075,1707,147
148,148,1,1,13,0,1.0,422,746,843,1001,928,9625142,3823,209
149,149,1,1,11,1,1.0,644,1149,365,1537,4065,1639466,1111,281
150,150,1,1,11,1,1.0,81,1487,160,1355,2044,10526274,86,238
151,151,1,1,16,0,0.9364,519,908,675,1545,1335,11581460,332,267
152,152,1,1,7,0,0.8569,889,314,192,1105,303,16574712,1160,315
153,153,1,1,7,0,0.8665,586,305,247,851,293,12691807,580,302
154,154,1,1,8,0,0.8818,602,1081,459,1283,2313,4038130,3220,323
155,155,1,1,6,0,0.8451,506,885,417,338,658,9545159,3805,225
156,156,1,1,10,0,1.0,408,725,622,1688,2781,6892185,3269,31
157,157,1,1,9,0,0.9007,861,1256,470,1131,756,7604176,3303,483
158,158,1,1,13,0,1.0,400,712,821,1322,3125,625456,3239,365
159,159,1,1,9,0,1.0,495,585,662,463,9,6769133,3263,531
160,160,1,1,16,0,0.8778,389,695,545,1499,5217,3686155,3194,394
161,161,1,1,11,0,0.5612,549,976,843,1001,4898,7647582,3316,523
162,162,1,1,14,0,0.7288,459,176,134,600,1383,8911359,3661,338
163,163,1,1,7,0,1.0,611,1093,541,1164,719,14982270,740,387
164,164,1,1,16,0,0.8075,684,887,622,1688,3106,6892185,3272,28
165,165,1,1,14,0,0.7941,713,419,635,1747,4055,16418614,1121,533
166,166,1,1,7,0,0.5738,505,876,706,1303,4429,3413271,3189,497
167,167,1,1,10,0,0.7043,122,300,467,1310,281,16157917,1048,1
168,168,1,1,8,0,1.0,396,708,705,1760,5385,18997632,1784,96
169,169,1,1,12,0,0.9256,802,1480,376,1080,4917,6127992,3234,357
170,170,1,1,10,0,1.0,525,927,867,483,2131,9098464,3712,14
171,171,1,1,11,0,0.8453,500,871,817,798,3095,10539815,91,465
172,172,1,1,12,0,0.828,879,1358,349,1035,3124,625456,3240,374
173,173,1,1,13,0,0.7819,40,772,141,616,1356,1355091,669,40
174,174,1,1,13,0,0.7762,342,603,399,1325,5049,18356633,1616,444
175,175,1,1,6,0,0.6826,658,1181,109,547,4891,19721134,1940,311
176,176,1,1,8,0,1.0,53,424,369,1066,387,16006300,1010,450
177,177,1,1,10,0,0.9015,509,891,499,58,553,384871,3206,400
178,178,1,1,12,0,0.9252,396,708,705,1760,755,18997632,1784,86
179,179,1,1,14,1,0.5434,614,1096,845,1184,1265,17682013,1460,470
180,180,1,1,17,0,0.8845,304,480,167,686,1601,1687392,1234,502
181,181,1,1,13,0,0.7746,466,825,657,1782,3442,15897593,961,542
182,182,1,1,9,0,0.6644,625,1118,167,687,3364,2716967,3160,459
183,183,1,1,12,0,1.0,89,449,843,1001,419,3411101,3188,92
184,184,1,1,11,0,0.8171,839,1274,503,1403,5456,18006530,1547,414
185,185,1,1,17,0,0.767,759,516,143,1018,479,19944736,1979,421
186,186,1,1,9,0,1.0,641,1144,606,1649,1923,8251368,3469,351
187,187,1,1,7,0,0.5931,811,1497,731,234,4394,16047871,1036,77
188,188,1,1,7,0,1.0,505,876,706,1303,1345,3413271,3189,499
189,189,1,1,11,0,1.0,645,1151,779,1256,2488,10524660,85,417
190,190,1,1,12,0,1.0,389,695,545,1499,4593,3686155,3194,397
191,191,1,1,11,0,1.0,204,1507,488,272,4756,17366349,1393,404
192,192,1,1,9,0,1.0,474,186,192,742,4809,7803371,3354,100
193,193,1,1,9,0,1.0,858,809,363,1054,3458,16586083,1164,67
194,194,1,1,5,0,1.0,408,725,264,736,4070,6892185,3268,16
195,195,1,1,12,0,0.9119,579,1022,167,686,3384,2716967,3159,457
196,196,1,1,10,0,0.8979,684,887,674,1290,2780,6892185,3273,34
197,197,1,1,3,0,1.0,779,1445,304,963,3027,8766220,3610,536
198,198,1,1,11,0,0.9124,347,612,413,730,2789,3962737,3216,254
199,199,1,1,14,0,0.6423,377,597,335,1011,3320,85485,3563,319
200,200,1,1,6,0,1.0,519,908,456,1559,3355,3780697,3202,475
201,201,1,1,6,0,0.8478,524,42,845,1184,3446,17682013,1458,474
202,202,1,1,10,0,0.8045,684,887,622,1688,4069,6892185,3272,19
203,203,1,1,13,0,1.0,728,1311,851,37,548,982002,3886,304
204,204,1,1,5,0,1.0,684,887,622,1688,2782,6892185,3272,35
205,205,1,1,15,0,1.0,451,1180,416,1196,1867,188339,1748,333
206,206,1,1,8,0,1.0,502,872,843,998,5214,7647582,3315,520
207,207,1,1,13,0,1.0,475,838,121,1109,1360,6323692,3245,316
208,208,1,1,14,0,0.9314,505,876,706,1303,2177,3413271,3189,500
209,209,1,1,7,0,1.0,579,283,545,1499,272,20727411,2153,198
210,210,1,1,8,0,1.0,820,78,165,661,2423,17943461,1520,375
211,211,1,1,10,0,0.9194,659,1182,731,109,576,11337188,292,270
212,212,1,1,10,0,0.726,495,862,464,674,3839,7282516,3280,413
213,213,1,1,8,0,1.0,474,836,192,105,574,7803371,3354,99
214,214,1,1,18,0,0.8436,117,1479,771,387,668,8888541,3646,52
215,215,1,1,12,0,0.9201,634,1131,401,1533,713,6699841,3258,105
216,216,1,1,12,0,0.9178,180,1171,132,207,620,10565806,96,110
217,217,1,1,12,0,1.0,354,622,767,1367,1640,6732043,3262,72
218,218,1,1,14,0,1.0,525,928,360,1051,811,9098464,3711,12
219,219,1,1,11,0,0.6438,892,469,514,1770,441,12013711,439,127
220,220,1,1,11,0,0.8349,519,908,456,1559,761,3780697,3202,476
221,221,1,1,13,0,0.8484,759,516,575,1571,478,19944736,1980,419
222,222,1,1,15,0,1.0,505,876,706,1303,2928,3413271,3189,495
223,223,1,1,11,0,0.8178,509,224,638,1772,2215,16710500,1203,305
224,224,1,1,7,0,0.8546,514,226,465,1301,219,7619765,3307,390
225,225,1,1,13,0,0.6961,780,1448,771,1579,5555,8888541,3648,55
226,226,1,1,14,0,0.8545,889,314,439,1103,5664,16574713,1161,292
227,227,1,1,12,0,0.9193,588,1051,575,1571,1435,2790457,3163,435
228,228,1,1,7,0,1.0,603,534,480,1321,872,3084782,3176,432
229,229,1,1,15,0,0.8652,349,364,196,757,1099,761833,3304,352
230,230,1,1,8,0,1.0,884,660,339,1015,3353,15985056,998,486
231,231,1,1,8,0,0.7541,752,1382,108,544,1898,871943,3603,181
232,232,1,1,9,0,1.0,331,676,315,666,4916,6127992,3230,358
233,233,1,1,15,0,0.8676,117,1479,771,1579,5531,8888541,3646,56
234,234,1,1,13,0,0.9231,548,265,192,746,1377,8617710,3585,83
235,235,1,1,9,0,1.0,684,887,264,736,2784,6892185,3271,37
236,236,1,1,10,0,1.0,506,885,677,1674,3415,9545159,3806,226
237,237,1,1,10,0,0.9009999999999999,479,904,493,1361,2532,18674790,1693,507
238,238,1,1,7,0,1.0,389,125,545,1499,127,3686155,3194,395
239,239,1,1,11,0,0.8318,576,1015,499,58,554,384871,3207,399
240,240,1,1,11,0,0.914,506,885,696,1630,3416,9545159,3807,223
241,241,1,1,5,0,0.63,855,344,322,197,336,3108839,3177,480
242,242,1,1,8,0,1.0,617,1103,311,563,2209,10074612,1,43
243,243,1,1,12,0,0.9258,798,1365,384,375,5568,11195262,224,141
244,244,1,1,7,0,0.8723,802,1480,141,616,4919,6127992,3232,362
245,245,1,1,11,0,1.0,377,597,335,1010,1417,85485,3563,318
246,246,1,1,9,0,0.8949,771,46,327,1749,1479,7053705,3277,91
247,247,1,1,10,0,1.0,679,852,172,691,1105,430165,3222,409
248,248,1,1,11,0,0.823,204,1507,488,272,1046,17366349,1393,388
249,249,1,1,10,0,0.9096,495,861,313,663,749,18674790,1694,508
250,250,1,1,11,0,1.0,679,191,509,983,5222,430165,3223,411
251,251,1,1,12,0,0.92,204,1507,488,272,4279,17366349,1393,396
252,252,1,1,14,0,1.0,575,278,183,700,1385,11847945,387,81
253,253,1,1,7,0,1.0,354,622,767,1366,846,6732043,3262,70
254,254,1,1,12,0,1.0,858,809,465,1301,3456,16586083,1165,68
255,255,1,1,12,0,0.8455,684,887,674,1290,3102,6892185,3273,27
256,256,1,1,8,0,1.0,717,1282,101,848,3500,19674115,1922,429
257,257,1,1,8,0,1.0,425,752,92,543,4903,7072798,3278,160
258,258,1,1,9,0,1.0,676,405,415,1191,3202,17574447,1433,88
259,259,1,1,13,0,0.6918,780,1448,771,387,669,8888541,3648,51
260,260,1,1,9,0,0.6596,526,929,167,686,1685,1687392,1235,501
261,261,1,1,8,0,1.0,717,1282,101,1380,5545,19674115,1922,430
262,262,1,1,13,0,1.0,678,432,465,1301,1407,12734532,586,412
263,263,1,1,13,0,0.9274,408,725,264,736,3107,6892185,3268,25
264,264,1,1,12,0,0.9191,451,1179,186,99,567,3123611,3180,321
265,265,1,1,13,0,0.9267,892,1314,514,1770,4723,12013711,439,134
266,266,1,1,12,0,0.8420000000000001,122,296,467,250,2633,16157917,1048,3
267,267,1,1,11,0,0.8167,122,296,467,1309,2637,16157917,1048,5
268,268,1,1,8,0,1.0,459,176,134,599,181,8911359,3661,337
269,269,1,1,17,0,0.8799,408,725,622,1688,4068,6892185,3269,15
270,270,1,1,9,0,0.8824,667,178,707,1452,5552,8268147,3486,491
271,271,1,1,10,0,0.9049,425,752,92,543,740,7072798,3278,158
272,272,1,1,11,0,1.0,372,661,696,1630,3417,9545159,3803,227
273,273,1,1,10,0,0.6087,590,1056,834,572,2546,18441470,1637,383
274,274,1,1,6,0,1.0,473,833,484,1335,973,15814210,921,108
275,275,1,1,4,0,1.0,858,809,315,975,3459,16586083,1163,65
276,276,1,1,10,0,0.8996,537,956,851,472,2610,19893084,1976,296
277,277,1,1,9,0,0.785,332,54,247,851,744,2840807,3164,368
278,278,1,1,16,0,0.8124,354,623,767,1640,5401,6732043,3262,69
279,279,1,1,11,0,0.8239,548,975,192,225,3438,8617710,3585,82
280,280,1,1,11,0,1.0,590,1056,581,390,671,18441470,1636,382
281,281,1,1,8,0,0.8828,798,1364,384,1639,1566,11195262,224,138
282,282,1,1,9,0,0.8951,588,1051,459,1283,2314,4038130,3219,324
283,283,1,1,7,0,0.8684,667,178,298,946,729,8267029,3484,373
284,284,1,1,12,0,1.0,802,1480,315,666,4915,6127992,3233,360
285,285,1,1,8,0,1.0,575,1014,183,700,927,11847945,387,71
286,286,1,1,5,0,1.0,816,883,770,1561,5363,2339463,2766,182
287,287,1,1,12,0,0.8399,408,725,674,1290,2779,6892185,3270,36
288,288,1,1,9,0,0.903,799,1474,309,1395,4923,3934126,3209,64
289,289,1,1,9,0,1.0,430,757,743,1754,1506,3732088,3196,208
290,290,1,1,11,0,1.0,436,769,382,1106,3660,6150641,3235,298
291,291,1,1,9,0,0.8917,855,317,315,666,3136,3137399,3184,87
292,292,1,1,10,0,1.0,634,1131,401,361,666,6699841,3258,101
293,293,1,1,13,0,1.0,53,1192,369,1066,3808,16006300,1010,449
294,294,1,1,13,0,1.0,347,612,843,998,2787,3962737,3217,259
295,295,1,1,13,0,0.7661,626,324,247,851,743,2840807,3165,369
296,296,1,1,12,0,0.7497,498,868,746,1286,820,7650771,3322,74
297,297,1,1,6,0,1.0,408,725,264,736,2783,6892185,3268,32
298,298,1,1,9,0,1.0,659,1182,817,1529,727,11337188,293,272
299,299,1,1,14,0,0.9314,772,1430,556,1544,2038,2893236,3168,339
300,300,1,1,7,0,1.0,617,1103,141,616,5542,10074612,0,45
301,301,1,1,8,0,0.8784,716,404,798,1064,970,15075188,766,47
302,302,1,1,17,0,0.8432,48,733,845,1184,3445,17682013,1457,473
303,303,1,1,5,0,1.0,879,1358,821,1322,3126,625456,3241,378
304,304,1,1,11,0,1.0,526,929,167,686,1600,1687392,1235,503
305,305,1,1,11,0,1.0,514,898,465,1301,4271,7619765,3307,392
306,306,1,1,15,0,0.9387,659,399,731,1179,370,11337188,292,276
307,307,1,1,8,0,0.7597,667,428,298,945,390,8267029,3484,370
308,308,1,1,7,0,1.0,855,344,322,986,337,3108839,3177,479
309,309,1,1,8,0,1.0,408,725,674,1290,4066,6892185,3270,20
310,310,1,1,17,0,0.9463,525,240,360,1051,1603,9098464,3711,13
311,311,1,1,9,1,0.5549,134,79,141,616,3109,1355091,670,41
312,312,1,1,7,0,1.0,389,695,545,1499,3360,3686155,3194,393
313,313,1,1,14,0,0.9354,495,861,315,666,3137,3137399,3183,85
314,314,1,1,10,0,1.0,614,1096,845,1184,3444,17682013,1460,472
315,315,1,1,10,0,1.0,771,46,327,200,613,7053705,3277,90
316,316,1,1,13,0,1.0,839,1274,503,1403,3529,18006530,1547,516
317,317,1,1,9,0,0.8914,575,1014,183,700,3077,11847945,387,75
318,318,1,1,14,0,0.9276,408,725,622,1688,3105,6892185,3269,24
319,319,1,1,8,0,0.7587,884,660,339,1015,1374,15985056,998,487
320,320,1,1,17,0,0.8899,832,323,788,1421,797,8106150,3420,57
321,321,1,1,7,0,1.0,408,725,674,1290,3101,6892185,3270,29
322,322,1,1,14,0,0.8590000000000001,451,398,416,239,3887,188339,1748,334
323,323,1,1,10,0,1.0,493,859,169,690,2542,6540303,3251,364
324,324,1,1,11,0,0.8262,524,37,178,696,5537,3952818,3211,548
325,325,1,1,6,0,0.8466,798,547,384,374,5358,11195262,224,145
326,326,1,1,9,0,1.0,760,1397,650,1061,1515,9672273,3841,287
327,327,1,1,9,0,0.7775,588,1051,575,1571,1436,2790457,3163,436
328,328,1,1,11,0,0.7269,590,309,531,1454,296,9226773,3738,173
329,329,1,1,18,0,0.838,641,1143,606,1649,3338,8251368,3469,350
330,330,1,1,12,0,0.7515,500,871,817,798,1668,10539815,91,466
331,331,1,1,8,0,1.0,858,809,787,1623,3457,16586083,1166,66
332,332,1,1,8,0,1.0,542,252,779,1256,239,10524660,84,416
333,333,1,1,9,0,1.0,788,1458,141,61,558,3769769,3200,216
334,334,1,1,14,0,0.9313,855,1113,817,1529,2764,3108839,3178,481
335,335,1,1,16,0,0.7553,713,418,635,1747,379,16418614,1121,530
336,336,1,1,4,0,1.0,347,612,183,700,2788,3962737,3215,260
337,337,1,1,12,0,0.7552,495,57,795,1263,2820,9952311,3928,478
338,338,1,1,11,0,1.0,567,994,104,537,5605,2320800,2722,330
339,339,1,1,12,0,0.9227,331,676,141,616,4920,6127992,3229,359
340,340,1,1,10,0,1.0,617,1103,311,563,5543,10074612,1,44
341,341,1,1,12,0,0.9191,319,1194,704,914,914,7007443,3276,307
342,342,1,1,9,0,0.8965,372,661,417,338,659,9545159,3802,222
343,343,1,1,10,0,1.0,335,488,604,376,1378,20552622,2096,353
344,344,1,1,11,0,1.0,204,1507,488,276,638,17366349,1393,381
345,345,1,1,18,0,0.8874,567,994,104,537,867,2320800,2722,328
346,346,1,1,14,0,0.929,772,1430,556,1544,4609,2893236,3168,346
347,347,1,1,9,1,0.6479,134,79,141,616,4332,1355091,670,38
348,348,1,1,13,0,0.9274,331,676,376,1080,4918,6127992,3231,361
349,349,1,1,13,0,1.0,509,891,499,1385,1376,16710500,1202,306
350,350,1,1,13,0,0.7758,396,708,743,1755,2734,18997632,1785,89
351,351,1,1,11,0,1.0,651,1157,357,1033,3846,2576810,3156,76
352,352,1,1,13,0,1.0,667,178,707,334,654,8268147,3486,490
353,353,1,1,8,1,1.0,582,285,598,367,279,10414674,49,517
354,354,1,1,10,1,0.9061,39,1146,632,1730,2609,11694026,334,423
355,355,1,1,18,1,0.7843,319,1194,133,598,947,4090988,3221,251
356,356,1,1,11,1,1.0,684,1225,244,846,3606,8106150,3419,61
357,357,1,1,11,1,1.0,495,861,146,623,3508,11230490,235,112
358,358,1,1,8,1,1.0,779,537,477,644,505,8766220,3611,545
359,359,1,1,11,1,1.0,478,841,114,1553,2039,17965424,1523,524
360,360,1,1,12,1,1.0,700,1251,208,777,1669,3732088,3197,119
361,361,1,1,13,1,0.925,254,900,114,345,3261,17965424,1521,525
362,362,1,1,13,1,1.0,6,820,88,518,955,16428827,1126,431
363,363,1,1,17,1,0.95,833,483,167,686,1599,1687392,1236,504
364,364,1,1,17,1,1.0,459,810,146,240,3262,11230490,233,120
365,365,1,1,14,1,1.0,820,78,72,16,5451,2004015,1987,189
366,366,1,1,9,1,1.0,582,1025,598,528,3297,10414674,49,515
367,367,1,1,11,1,1.0,160,104,363,1054,95,16820346,1231,446
368,368,1,1,13,1,0.9322,319,1194,332,1766,915,7007443,3275,308
369,369,1,1,8,1,1.0,399,711,227,811,938,6323692,3244,313
370,370,1,1,13,1,1.0,533,241,556,1544,3011,2893236,3166,344
371,371,1,1,9,1,1.0,867,614,363,1054,3074,18201582,1581,511
372,372,1,1,14,1,0.9420000000000001,361,97,510,329,74,11009181,195,168
373,373,1,1,13,1,0.8457,39,1146,632,1730,865,11694026,334,425
